,Message,Category
184,"He will, you guys close?",ham
2171,"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO",ham
5422,Ok k..sry i knw 2 siva..tats y i askd..,ham
4113,"I'll see, but prolly yeah",ham
4588,"I'll see if I can swing by in a bit, got some things to take care of here firsg",ham
1581,"I shall book chez jules for half eight, if that's ok with you?",ham
3970,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,ham
2701,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",ham
2755,Ok Chinese food on its way. When I get fat you're paying for my lipo.,ham
1848,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam
1754,Jus came back fr lunch wif my sis only. U leh?,ham
2582,Yup i'm elaborating on the safety aspects and some other issues..,ham
3990,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ham
2907,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",ham
5149,Pls call me da. What happen.,ham
2053,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",spam
5340,Are u awake? Is there snow there?,ham
5000,"Hmph. Go head, big baller.",ham
1474,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",ham
3275,Thanx a lot...,ham
1951,Oh ic. I thought you meant mary jane.,ham
4160,Now got tv 2 watch meh? U no work today?,ham
4156,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam
2222,I notice you like looking in the shit mirror youre turning into a right freak,ham
2245,No management puzzeles.,ham
4870,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,ham
5380,Its sunny in california. The weather's just cool,ham
4813,"fyi I'm at usf now, swing by the room whenever",ham
1435,I asked sen to come chennai and search for job.,ham
3793,Love it! I want to flood that pretty pussy with cum...,ham
5568,Will ü b going to esplanade fr home?,ham
3913,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam
2085,How are you. Wish you a great semester,ham
2585,Hi happy birthday. Hi hi hi hi hi hi hi,ham
1798,Can i get your opinion on something first?,ham
4381,Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.,ham
3593,I anything lor...,ham
1631,I am going to film 2day da. At 6pm. Sorry da.,ham
5348,Do I? I thought I put it back in the box,ham
598,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam
2498,Dai what this da.. Can i send my resume to this id.,ham
4339,Yes when is the appt again?,ham
4131,And by when you're done I mean now,ham
4505,She told to hr that he want posting in chennai:)because i'm working here:),ham
1787,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham
5470,I thought slide is enough.,ham
1806,God bless.get good sleep my dear...i will pray!,ham
2194,I called but no one pick up e phone. I ask both of them already they said ok.,ham
3504,Free any day but i finish at 6 on mon n thurs...,ham
1573,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam
2402,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),spam
1052,Do u noe wat time e place dat sells 4d closes?,ham
